"SUB_DISTRICT_ID","DISTRICT_ID","CODE","SUB_DISTRICT_CODE","SUB_DISTRICT_THAI","SUB_DISTRICT_ENGLISH","LATITUDE","LONGITUDE","POSTAL_CODE","UPDATED_AT","CREATED_AT"
1,1,"01","100101",พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,"13.751","100.492","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
2,1,"02","100102",วังบูรพาภิรมย์,Wang Burapha Phirom,"13.744","100.499","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
3,1,"03","100103",วัดราชบพิธ,Wat Ratchabophit,"13.75","100.499","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
4,1,"04","100104",สำราญราษฎร์,Samran Rat,"13.751","100.503","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
5,1,"05","100105",ศาลเจ้าพ่อเสือ,San Chao Pho Suea,"13.754","100.497","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
6,1,"06","100106",เสาชิงช้า,Sao Chingcha,"13.753","100.5","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
7,1,"07","100107",บวรนิเวศ,Bowon Niwet,"13.757","100.501","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
8,1,"08","100108",ตลาดยอด,Talat Yot,"13.76","100.498","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
9,1,"09","100109",ชนะสงคราม,Chana Songkhram,"13.762","100.495","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
10,1,"10","100110",บ้านพานถม,Ban Phan Thom,"13.762","100.503","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
11,1,"11","100111",บางขุนพรหม,Bang Khun Phrom,"13.765","100.505","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
12,1,"12","100112",วัดสามพระยา,Wat Sam Phraya,"13.768","100.499","10200",2024-10-25 22:15:57.000,2024-10-25 22:15:57.000
